时间/s,0.0 cm,0.1 cm,0.2 cm,0.3 cm,0.4 cm,0.5 cm,0.6 cm,0.7 cm,0.8 cm,0.9 cm,1.0 cm,1.1 cm,1.2 cm,1.3 cm,1.4 cm,1.5 cm,1.6 cm,1.7 cm,1.8 cm,1.9 cm,2.0 cm
60,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999998,2.549999999968,2.549999999532,2.549999993131,2.549999900331,2.549998582369,2.549980488903,2.549745681023,2.546979433555,2.519769389589,2.339359500065
120,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999994,2.549999999918,2.549999998902,2.549999985669,2.549999820148,2.549997858403,2.549976246123,2.549760899059,2.547898417213,2.534794534098,2.467245389187,2.247888772683
180,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999988,2.549999999854,2.549999998268,2.549999980314,2.549999787799,2.549997859866,2.549980147045,2.549834328866,2.548792448120,2.542607229541,2.513828535036,2.415880299775,2.184034779932
240,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999998,2.549999999982,2.549999999805,2.549999997951,2.549999979456,2.549999805709,2.549998287795,2.549986144875,2.549898887342,2.549349084678,2.546401909886,2.533444927965,2.488551574746,2.369895733573,2.132541438911
300,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999998,2.549999999978,2.549999999788,2.549999997998,2.549999981997,2.549999847366,2.549998793359,2.549991216593,2.549941980793,2.549658078102,2.548236936026,2.542213617250,2.521157167462,2.461806120574,2.328509689152,2.088969268192
360,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999998,2.549999999977,2.549999999799,2.549999998279,2.549999985914,2.549999891071,2.549999212196,2.549994729133,2.549967767912,2.549822255454,2.549129057985,2.546266750433,2.536212158684,2.506666225579,2.434856304205,2.290874181329,2.051034664724
420,2.550000000000,2.550000000000,2.550000000000,2.549999999997,2.549999999979,2.549999999827,2.549999998641,2.549999989767,2.549999926900,2.549999509435,2.549996937548,2.549982398827,2.549907887696,2.549566175720,2.548183241893,2.543313369799,2.528585084424,2.490709676341,2.408297714308,2.256369840003,2.017282036135
480,2.550000000000,2.550000000000,2.549999999997,2.549999999981,2.549999999859,2.549999998984,2.549999992912,2.549999952822,2.549999703304,2.549998253686,2.549990469101,2.549952220909,2.549782113646,2.549104875369,2.546718016491,2.539348458950,2.519586740591,2.473820034244,2.382413918248,2.224503642739,1.986787134204
540,2.549999999999,2.549999999997,2.549999999983,2.549999999888,2.549999999262,2.549999995225,2.549999970241,2.549999823512,2.549999013747,2.549994853005,2.549975128718,2.549889648693,2.549554113655,2.548372040018,2.544666673427,2.534409165887,2.509471011916,2.456374197777,2.357331242277,2.194875734951,1.958981876131
600,2.549999999993,2.549999999982,2.549999999909,2.549999999465,2.549999996813,2.549999981407,2.549999895723,2.549999444510,2.549997215877,2.549986979819,2.549943621066,2.549775597307,2.549184554021,2.547311194009,2.541995921190,2.528566912156,2.498458603478,2.438623113384,2.333072828103,2.167175992400,1.933488938823
