时间/s,0.0 cm,0.1 cm,0.2 cm,0.3 cm,0.4 cm,0.5 cm,0.6 cm,0.7 cm,0.8 cm,0.9 cm,1.0 cm,1.1 cm,1.2 cm,1.3 cm,1.4 cm,1.5 cm,1.6 cm,1.7 cm,1.8 cm,1.9 cm,2.0 cm
60,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999978,2.549999996468,2.549999563568,2.549964118962,2.548377296052,2.518677341715,2.327700939029
120,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999987,2.549999998957,2.549999936276,2.549997227940,2.549920062781,2.548581352989,2.535373346182,2.463487627646,2.242453077243
180,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999998,2.549999999873,2.549999994610,2.549999824829,2.549995802410,2.549928378455,2.549155294078,2.543239240758,2.513326739264,2.412567446478,2.180093116885
240,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999989,2.549999999611,2.549999989332,2.549999769686,2.549996167956,2.549951753701,2.549546768422,2.546848074785,2.533772793370,2.487571854850,2.367025200221,2.129485347459
300,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999973,2.549999999349,2.549999986900,2.549999786392,2.549997212548,2.549971199758,2.549766229446,2.548515598371,2.542626172621,2.521201306708,2.460631698390,2.325988829379,2.086516060173
360,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999998,2.549999999959,2.549999999227,2.549999987651,2.549999835755,2.549998197961,2.549983805110,2.549881382907,2.549293883945,2.546584260721,2.536536394020,2.506493518253,2.433603633548,2.288642233565,2.049007670340
420,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999997,2.549999999952,2.549999999257,2.549999990056,2.549999886767,2.549998910026,2.549991177489,2.549940175823,2.549660888514,2.548393766939,2.543633301387,2.528805065466,2.490378265817,2.407030142834,2.254382774688,2.015574289523
480,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999997,2.549999999953,2.549999999374,2.549999992740,2.549999926954,2.549999365999,2.549995274435,2.549969849431,2.549835648375,2.549235105407,2.546958621673,2.539645937621,2.519704239870,2.473374578270,2.381164100337,2.222723591587,1.985321608706
540,2.550000000000,2.550000000000,2.550000000000,2.549999999997,2.549999999958,2.549999999514,2.549999995013,2.549999954750,2.549999639458,2.549997489102,2.549984764999,2.549919625321,2.549631661693,2.548533552977,2.544922017142,2.534669452923,2.509495892062,2.455850117355,2.356120442231,2.193272093656,1.957724375159
600,2.550000000000,2.550000000000,2.549999999997,2.549999999964,2.549999999641,2.549999996695,2.549999972605,2.549999797290,2.549998668366,2.549992262595,2.549960328848,2.549820754760,2.549286589794,2.547497574293,2.542253129876,2.528782566584,2.498403005285,2.438045360940,2.331907776497,2.165725466616,1.932404697951
660,2.549999999999,2.549999999996,2.549999999970,2.549999999739,2.549999997841,2.549999983562,2.549999886318,2.549999291548,2.549996041101,2.549980224211,2.549911859485,2.549649812575,2.548759872454,2.546082847507,2.538947412025,2.522075297327,2.486609690364,2.420128160395,2.308522137682,2.139857220032,1.909053668966
720,2.549999999990,2.549999999971,2.549999999804,2.549999998577,2.549999990087,2.549999935867,2.549999620027,2.549997953986,2.549990032340,2.549956185441,2.549826497762,2.549381474217,2.548014787454,2.544258952913,2.535018072853,2.514637482949,2.474263442408,2.402211795426,2.285936054667,2.115490396137,1.887375117380
780,2.549999999936,2.549999999829,2.549999999017,2.549999993881,2.549999963232,2.549999793337,2.549998928389,2.549994911030,2.549977960384,2.549913169342,2.549689229699,2.548990123600,2.547019918888,2.542007671907,2.530490271830,2.506556571675,2.461490600220,2.384391695612,2.264141883996,2.092473218141,1.867136386027
840,2.549999999665,2.549999999196,2.549999995993,2.549999978233,2.549999885054,2.549999428502,2.549997361077,2.549988763125,2.549956054926,2.549842529886,2.549483629463,2.548451184375,2.545749883128,2.539321232477,2.525396972838,2.497914499867,2.448394912946,2.366733010419,2.243104631325,2.070669888779,1.848164525157
900,2.549999998569,2.549999996859,2.549999986227,2.549999933646,2.549999687283,2.549998604093,2.549994177849,2.549977468251,2.549919410724,2.549734204486,2.549192601643,2.547742039183,2.544185284402,2.536200166056,2.519775724680,2.488787740581,2.435066013399,2.349290881981,2.222803892106,2.049969068730,1.830276591031
960,2.549999994817,2.549999989488,2.549999958868,2.549999821903,2.549999241231,2.549996921322,2.549988264070,2.549958259445,2.549862024653,2.549577050598,2.548799069291,2.546842684966,2.542312524288,2.532651820702,2.513666731456,2.479246087347,2.421576812365,2.332098363650,2.203194056817,2.030249198558,1.813439384497
1020,2.549999983681,2.549999969084,2.549999890758,2.549999570118,2.549998326330,2.549993763121,2.549978055995,2.549927603858,2.549776901215,2.549359209190,2.548286512996,2.545735954473,2.540122879081,2.528687702063,2.507108720849,2.469348158262,2.407980317186,2.315168214323,2.184229454001,2.011443444563,1.797518007555
1080,2.549999954329,2.549999918487,2.549999737197,2.549999051114,2.549996592931,2.549988236983,2.549961482090,2.549881200863,2.549656197323,2.549068436320,2.547639332103,2.544407499931,2.537611773684,2.524322573635,2.500140059239,2.459148226795,2.394325889703,2.298520121511,2.165886823587,1.993469981854,1.782508290974
1140,2.549999884400,2.549999804184,2.549999418805,2.549998058790,2.549993521416,2.549979121832,2.549935924315,2.549814016114,2.549491397122,2.548692421397,2.546843150256,2.542845770564,2.534778116018,2.519572913655,2.492795618254,2.448688961890,2.380642523730,2.282146050055,2.148111517584,1.976279898307,1.768327378527
1200,2.549999731556,2.549999565740,2.549998804171,2.549996279185,2.549988380074,2.549964822365,2.549898199543,2.549720339450,2.549273478817,2.548219001378,2.545884848960,2.541041518490,2.531623107115,2.514455652678,2.485107771102,2.438009740125,2.366962383225,2.266059644179,2.130901425574,1.959831032094,1.754853641860
1260,2.549999421369,2.549999101302,2.549997688269,2.549993258240,2.549980183828,2.549943332544,2.549844558920,2.549593860407,2.548993084880,2.547636383849,2.544752755032,2.538987953023,2.528150676899,2.508989518967,2.477108825655,2.427148048604,2.353314835735,2.250269837925,2.114233924151,1.944069065078,1.741984065926
1320,2.549998831002,2.549998248864,2.549995766951,2.549988367632,2.549967656222,2.549912210874,2.549770707424,2.549427765293,2.548640702378,2.546933353832,2.543436747631,2.536680601040,2.524367017411,2.503194306157,2.468830322607,2.416139563303,2.339728218805,2.234785205486,2.098085739103,1.928923643836,1.729748817996
1380,2.549997768485,2.549996763301,2.549992608208,2.549980770253,2.549949196756,2.549868568504,2.549671840777,2.549214845284,2.548206830797,2.546099428802,2.541928265340,2.534116997170,2.520279750649,2.497089108084,2.460299261123,2.405009940845,2.326213647354,2.219588931498,2.082408370387,1.914367646485,1.718142467555
