时间/s,0.0 cm,0.1 cm,0.2 cm,0.3 cm,0.4 cm,0.5 cm,0.6 cm,0.7 cm,0.8 cm,0.9 cm,1.0 cm,1.1 cm,1.2 cm,1.3 cm,1.4 cm,1.5 cm,1.6 cm,1.7 cm,1.8 cm,1.9 cm,2.0 cm
60,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999997,2.549999999970,2.549999999683,2.549999996690,2.549999965369,2.549999638244,2.549996241256,2.549961398406,2.549612627067,2.546287122037,2.517755522206,2.335916406674
120,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999996,2.549999999961,2.549999999604,2.549999995998,2.549999960025,2.549999607763,2.549996255323,2.549965686492,2.549704273534,2.547677967831,2.534246463204,2.465838430220,2.244719235200
180,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999995,2.549999999955,2.549999999561,2.549999995825,2.549999961181,2.549999650132,2.549996977229,2.549975325430,2.549813388258,2.548727580025,2.542476153763,2.513481152486,2.414204149599,2.181437704849
240,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999995,2.549999999953,2.549999999570,2.549999996192,2.549999967224,2.549999728622,2.549997861619,2.549984177815,2.549891915746,2.549333066926,2.546386610819,2.533415406673,2.488089642066,2.368144780307,2.130458623448
300,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999995,2.549999999955,2.549999999621,2.549999996872,2.549999975010,2.549999808536,2.549998607456,2.549990499916,2.549940076340,2.549656586237,2.548249592910,2.542261730094,2.521125244686,2.461169930419,2.326850619440,2.087282618687
360,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999995,2.549999999961,2.549999999691,2.549999997620,2.549999982261,2.549999873219,2.549999139546,2.549994513742,2.549967539493,2.549824305124,2.549144345846,2.546319868361,2.536293480590,2.506564234886,2.434107797056,2.289351409710,2.049619157064
420,2.550000000000,2.550000000000,2.549999999999,2.549999999996,2.549999999967,2.549999999761,2.549999998283,2.549999988006,2.549999919498,2.549999485738,2.549996904198,2.549982626535,2.549910190391,2.549578016248,2.548223762617,2.543401622631,2.528662862449,2.490522519009,2.407492443576,2.254981331341,2.016083601495
480,2.550000000000,2.549999999999,2.549999999996,2.549999999974,2.549999999822,2.549999998802,2.549999992140,2.549999950225,2.549999698835,2.549998275753,2.549990750239,2.549953986417,2.549790086325,2.549132051125,2.546785816431,2.539457362757,2.519636615242,2.473556817758,2.381588844226,2.223240404184,1.985748603548
540,2.549999999998,2.549999999996,2.549999999978,2.549999999867,2.549999999177,2.549999994934,2.549999969670,2.549999825523,2.549999045330,2.549995078467,2.549976319655,2.549894675573,2.549571220237,2.548417935881,2.544758147406,2.534523250098,2.509480921211,2.456048812054,2.356506487729,2.193724320758,1.958097695161
600,2.549999999991,2.549999999979,2.549999999898,2.549999999430,2.549999996740,2.549999981588,2.549999899194,2.549999471508,2.549997373322,2.549987735969,2.549946678827,2.549785985801,2.549213701779,2.547376443048,2.542104360038,2.528673685160,2.498424987103,2.438250481827,2.332263529986,2.166128056308,1.932723576510
660,2.549999999958,2.549999999908,2.549999999587,2.549999997865,2.549999988731,2.549999941446,2.549999705866,2.549998588819,2.549993595831,2.549972744225,2.549892083091,2.549605485354,2.548677712612,2.545961680403,2.538816217664,2.521997764786,2.486657357040,2.420333207365,2.308848993705,2.140216586548,1.909334469584
720,2.549999999829,2.549999999645,2.549999998523,2.549999992924,2.549999965460,2.549999834379,2.549999233781,2.549996620206,2.549985916412,2.549944999509,2.549800134671,2.549328560796,2.547926536452,2.544141558135,2.534904841039,2.514586114869,2.474330161510,2.402415845848,2.286241392233,2.115813675803,1.887613572923
