time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
60,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999972,2.5499999999353751,2.5499999277150511,2.5499797162252129,2.5485044979061562,2.5184715089591241,2.327084214402495
120,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999995402,2.5499999998554514,2.5499999775891999,2.5499982655203199,2.5499321468965448,2.5486328771361602,2.5353924849824807,2.4632481425898627,2.2420954166307063
180,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999997782,2.5499999999721381,2.5499999978249068,2.5499998933695127,2.5499967011368088,2.549935145646645,2.5491817339490961,2.5432788467648102,2.5132864263221442,2.4123538683548311,2.1798372789656129
240,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999652,2.5499999999970777,2.5499999998402711,2.5499999938414586,2.5499998321641,2.5499967575603981,2.5499554080719569,2.5495608830823331,2.5468782683588023,2.533791569630663,2.4875048311532937,2.3668378112551616,2.1292862293728967
300,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.549999999999998,2.549999999999756,2.549999999989315,2.5499999996466558,2.5499999911420961,2.549999831497852,2.5499975636805807,2.5499731571127913,2.5497738066150908,2.5485348277128903,2.5426531747368237,2.5212021891457019,2.4605530410537715,2.3258235626926966,2.0863562010508807
360,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999794,2.549999999999299,2.5499999999793626,2.5499999995150868,2.5499999909292037,2.5499998649437909,2.5499983984011991,2.5499848508559864,2.5498854475098298,2.5493052778038723,2.5466056995610682,2.5365572540331889,2.506480627103528,2.4335201572572993,2.2884957732404341,2.0488750602697912
420,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999985,2.5499999999999492,2.5499999999987399,2.5499999999722198,2.5499999994919813,2.5499999923320305,2.5499999046044746,2.5499990221119315,2.5499917360327853,2.5499423533217116,2.5496673966820622,2.5484081315831988,2.5436546375571139,2.5288189729421235,2.4903552494994385,2.406945954392536,2.2542521758477183,2.0154624921773303
480,2.5499999999999998,2.5499999999999998,2.5499999999999954,2.5499999999999119,2.549999999998287,2.5499999999699297,2.5499999995479876,2.549999994226047,2.5499999375189724,2.5499994280664526,2.5499955731723976,2.549971015611288,2.5498392901522475,2.5492440024480025,2.5469748846848788,2.5396656176028038,2.5197113814245311,2.4733442542774831,2.3810811926930096,2.2226065341725967,1.9852253966947995
540,2.5499999999999998,2.5499999999999892,2.5499999999998706,2.5499999999980254,2.5499999999715146,2.5499999996364258,2.5499999959515378,2.5499999609091684,2.5499996737184611,2.5499976493698693,2.549985390257735,2.5499216391927662,2.5496369386940052,2.5485445224064809,2.544939163352165,2.5346865720910898,2.509496965021567,2.4558147991845716,2.3560402286492361,2.1931664697501403,1.9576420110341115
600,2.5499999999999536,2.5499999999998102,2.5499999999978864,2.5499999999749186,2.5499999997242155,2.54999999727784,2.5499999761756698,2.549999816236856,2.5499987547761367,2.5499925987906269,2.5499614356242688,2.5498238053013753,2.5492935175527767,2.5475101703618717,2.5422703184342836,2.5287966698379085,2.4983988044502627,2.4380066017298425,2.3318305840304614,2.1656299528681178,1.9323335364588583
