time_s,radius_m,min_C,max_C_all_grid_nodes,mean_C_dry_mass_weighted,max_node
60,0.02,2.327084214402495,2.5499999999999998,2.5385784831918583,0
120,0.02,2.2420954166307063,2.5499999999999998,2.5277231972228491,0
180,0.02,2.1798372789656129,2.5499999999999998,2.5172162755227001,0
240,0.02,2.1292862293728967,2.5499999999999998,2.5069799988676453,0
300,0.02,2.0863562010508807,2.5499999999999998,2.4969692528513514,0
360,0.02,2.0488750602697912,2.5499999999999998,2.4871526983363537,0
420,0.02,2.0154624921773303,2.5499999999999998,2.4775080012013828,0
480,0.02,1.9852253966947995,2.5499999999999998,2.4680179312106367,0
540,0.02,1.9576420110341115,2.5499999999999998,2.4586689110492705,0
600,0.02,1.9323335364588583,2.5499999999999536,2.4494491061051948,0
660,0.02,1.9089926521689389,2.5499999999993554,2.4403481150735447,0
720,0.02,1.8873218819280515,2.5499999999933554,2.4313568481372494,0
780,0.02,1.8670902919041212,2.549999999951079,2.4224682153765653,0
840,0.02,1.8481241168679323,2.5499999997263703,2.4136760875769525,0
900,0.02,1.830241163610187,2.5499999987729818,2.4049749569204457,0
960,0.02,1.8134090399798675,2.5499999954041455,2.3963589486024723,0
1020,0.02,1.7974913897666436,2.5499999851628541,2.3878231530597556,0
1080,0.02,1.7824863699180205,2.549999957692985,2.379364216916164,0
1140,0.02,1.7683086527161953,2.5499998913738717,2.3709774300225051,0
1200,0.02,1.7548380699472439,2.5499997449476157,2.3626593768170414,0
1260,0.02,1.7419706109433599,2.5499994454435053,2.3544067268968711,0
1320,0.02,1.7297384290848414,2.5499988718861863,2.3462160893812039,0
1380,0.02,1.7181343955033297,2.5499978345629768,2.3380851614384479,0
1440,0.02,1.7069977084306169,2.5499960499647862,2.330010940699768,0
1500,0.02,1.6962501212077974,2.5499931117667995,2.321990853072597,0
1560,0.02,1.6859257893450945,2.5499884585225527,2.3140234756085749,0
1620,0.02,1.6760019752061643,2.5499813392379589,2.3061065526694904,0
1680,0.02,1.6664392105080565,2.5499707782842447,2.2982384120667092,0
1740,0.02,1.6573276740954139,2.5499555407794641,2.2904171083765532,0
1800,0.02,1.6486177867307812,2.5499340998007018,2.2826406266648811,0
1860,0.02,1.6402444096142095,2.54990460636462,2.2749071434191066,0
1920,0.02,1.632107603477883,2.5498648618725088,2.2672155024140181,0
1980,0.02,1.624180247745691,2.5498122945665003,2.2595649261520969,0
2040,0.02,1.6165266675501451,2.5497439423994526,2.251953488695746,0
2100,0.02,1.6090911255629954,2.5496564455297013,2.2443798093320093,0
2160,0.02,1.6018523526722941,2.5495460463606614,2.2368433365124725,0
2220,0.02,1.594875880030352,2.5494085940354161,2.229343316735529,0
2280,0.02,1.5881033676763856,2.549239557869615,2.2218783356940217,0
2340,0.02,1.5815258413841768,2.5490340476004585,2.2144465094915722,0
2400,0.02,1.5751448697974608,2.5487868344158739,2.207046874024805,0
2460,0.02,1.5689497193006492,2.5484923791318916,2.199679347831887,0
2520,0.02,1.5629294311240511,2.5481448634549597,2.1923428081757805,0
2580,0.02,1.5569910296006542,2.5477382273313887,2.185036892948844,0
2640,0.02,1.5512065369539654,2.5472662085780784,2.1777609672740783,0
2700,0.02,1.5455907062610155,2.5467223929188423,2.1705134447242926,0
2760,0.02,1.5400417100776957,2.5461002788506581,2.1632942018709134,0
2820,0.02,1.5345532328110763,2.5453933164866016,2.1561034438645428,0
2880,0.02,1.5292019041752127,2.544594949528066,2.1489399612947815,0
2940,0.02,1.5239414770719253,2.543698696732998,2.1418036203304665,0
3000,0.02,1.5187092442925023,2.5426982168656025,2.1346938701160587,0
3060,0.02,1.5135730025645402,2.5415873335356651,2.1276105106925218,0
3120,0.02,1.5085772910946922,2.5403600974945757,2.1205529461034702,0
3180,0.02,1.5037347557557923,2.5390108507669136,2.1135201716624472,0
3240,0.02,1.4989467417455826,2.5375342417077555,2.1065126024588929,0
3300,0.02,1.4942311534358499,2.5359251795590425,2.0995292620236103,0
3360,0.02,1.4895386676998785,2.5341788447928284,2.092569613846698,0
3420,0.02,1.4848823761649661,2.5322907614875727,2.0856334535692698,0
3480,0.02,1.4802431579108855,2.5302568519323096,2.0787205591272815,0
3540,0.02,1.475617533151051,2.5280735038324327,2.0718310934986577,0
3600,0.02,1.4710935985614697,2.5257376061122332,2.0649642242337403,0
3660,0.02,1.4666569764036232,2.523246589901567,2.0581196424704484,0
3720,0.02,1.4622500284072431,2.5205984032104518,2.0512977684523146,0
3780,0.02,1.4579176724669807,2.5177913743406961,2.0444982478600573,0
3840,0.02,1.4536132213886843,2.5148241980488044,2.0377203768404049,0
3900,0.02,1.4493151241754791,2.5116959750029131,2.0309636434940015,0
