time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
60,28.000000030447314,28.000000044075701,28.000000100723504,28.000000264182948,28.000000709620988,28.000001883183099,28.000004868410624,28.000012178680809,28.000029376447248,28.000068195925255,28.000152216770651,28.000326557188625,28.000673409175388,28.001335328925265,28.002547773852896,28.004681230064911,28.008291348920878,28.014173045718124,28.023412234213335,28.037432531589968,28.058071446918099
120,28.000060630887312,28.000068070225282,28.000092540892215,28.000140987862274,28.000226670730722,28.000371903718992,28.000612312284595,28.00100301179803,28.001627202157263,28.002607729984732,28.004122178773695,28.006421980635142,28.009855865882372,28.014897637871343,28.022177746028852,28.032517424620995,28.046963332203351,28.06682009897774,28.093681505421525,28.12947962878248,28.176587420289778
180,28.00116091723218,28.001232743965168,28.001458137182837,28.001867778428057,28.002515964670451,28.003485410119183,28.004894060509969,28.00690394336279,28.009731985257069,28.013662562491103,28.019061311042293,28.026389422210507,28.036217338557506,28.04923652154066,28.066267892589867,28.088265767302012,28.116316873378448,28.151636922431059,28.19557687192545,28.249664783930303,28.315700106205576
240,28.006261925123717,28.006504926940654,28.007253502674011,28.008567176662382,28.010547831229125,28.013343588139708,28.017153968699127,28.022236032466235,28.02891107464583,28.037571324063318,28.048685935842432,28.062805437472033,28.080563703904382,28.10267656526387,28.129936366789057,28.163202372243177,28.203388537681423,28.251454946942491,28.308417778769726,28.375394976320621,28.453695794568816
300,28.019069956728984,28.019580001087,28.021135999023191,28.023815931815957,28.027751026831034,28.033127548020115,28.040189142336228,28.049239667685146,28.06064653974332,28.074844852386111,28.092342855322379,28.113729776796962,28.139687358345093,28.171006655366263,28.208611489955896,28.25358954709035,28.307232438875239,28.371088427566384,28.447033259895218,28.537358777481877,28.644880635287155
360,28.042169609818391,28.043000703010399,28.045523791398647,28.049828772244975,28.056067064300453,28.064454058428069,28.075272654772014,28.088877927212533,28.105702859198917,28.126264902852107,28.151172810998744,28.18113279828852,28.216952679353085,28.259542375520436,28.309909413120561,28.369149443131974,28.438435354081335,28.519013771182021,28.612220237493446,28.719522263628964,28.842611229815887
420,28.077297507279138,28.078502418537486,28.082151699716828,28.088349327265114,28.097269674901248,28.109159012936235,28.124337370170075,28.143200532523199,28.166221913189212,28.193954020536218,28.227029285046097,28.266160093876589,28.312138029211297,28.365832562071308,28.428190024829838,28.500235050842189,28.58307908380846,28.67794246063643,28.786194899158673,28.909417786303276,29.049509963959991
480,28.126208630769902,28.12782789550976,28.132722270118702,28.141001579063829,28.152849121010721,28.168521984476172,28.188351339313158,28.212742531545452,28.242174722044229,28.277199689355079,28.318439264042848,28.366580702231577,28.422369223527404,28.486597138768865,28.560089874421305,28.643691209327351,28.738252887745123,28.844635575555952,28.963727613588762,29.096490943209233,29.244063650571093
540,28.189769621039073,28.191812848914402,28.197978615591026,28.208374972891214,28.223181327675832,28.242647353343699,28.267091353665581,28.296898032472047,28.332515712207694,28.374453217577948,28.423276907384835,28.4796086898094,28.544126278801251,28.617567466645923,28.700740886387365,28.794546536210063,28.900009409034475,29.01832750098788,29.150932333519652,29.299563992876507,29.466386995289742
600,28.267806683809699,28.270255397378428,28.277635600192593,28.290049374935847,28.307666537795871,28.33072423713898,28.359526544027965,28.394444159778889,28.435914353936216,28.484441189857844,28.5405959910854,28.605017879817122,28.678414183386458,28.761560767646035,28.855303153402442,28.960560507883176,29.07833545743328,29.209732348732487,29.355987106739242,29.51851989973321,29.699045198532492
660,28.35963983237788,28.362480070975501,28.371034435586449,28.385403851584272,28.405756458320425,28.43232750934845,28.465419251439954,28.505400826852298,28.552708300745227,28.607845016643992,28.671382643925512,28.743963526579897,28.826305316565765,28.919209430207211,29.023575533523903,29.140424582541989,29.270932078459978,29.416471148107448,29.57866499837969,29.759457090975499,29.961231989885821
720,28.465036595288165,28.468266861268788,28.477991571050179,28.494312559616059,28.517399893572144,28.547492413205006,28.584898528758494,28.629997253227252,28.683239363311447,28.745148425480647,28.816321219498892,28.89742690974056,28.989204313548601,29.092457003665046,29.208046839192065,29.336887564661364,29.479940891516684,29.638218478724085,29.812797158967712,30.004865502129554,30.215839531418364
780,28.584111009951666,28.587739260785437,28.598658514164139,28.616972214509669,28.642852549247447,28.676540031297353,28.718342751860753,28.768635174610644,28.82785636514582,28.89650763579769,28.975149771076978,29.064400332112321,29.164932065366685,29.277474129841327,29.402818454193852,29.541833523975345,29.69548697514378,29.864877564371213,30.051279486963107,30.256211591857952,30.481563683061161
840,28.717003516645011,28.721024879107599,28.7331221702823,28.753394861306312,28.782008270189479,28.819192859348181,28.865243239579353,28.920516843591063,28.985432184122608,29.060466542381398,29.146152868848976,29.243075689278772,29.351865994140905,29.473195505699486,29.60777125596093,29.756331831945086,29.919647044736106,30.098524304778266,30.293829821665287,30.506542683844927,30.737875430283772
900,28.863268944530159,28.867665392029405,28.88088601375328,28.903024382294429,28.934235551329095,28.974734646890695,29.024794787155628,29.08474424398441,29.154962775687817,29.235877129383301,29.327955872607507,29.431704015444062,29.547658343381944,29.676384903176611,29.818480409152958,29.9745792006767,30.145367025621937,30.331603628894193,30.534159947769332,30.754084361408008,30.992727120867187
960,29.022094528168981,29.02683538919106,29.041085980396666,29.064930002961589,29.098505889616309,29.142005234078457,29.195670675631693,29.259793365022595,29.334710244684363,29.420801553265136,29.518489240513656,29.628237366070998,29.750555999476965,29.886010448876615,30.035237505770461,30.198969600390949,30.378066730839169,30.573556173895746,30.786683420927105,31.018986467368816,31.272420861656144
