status,t_h,maxC,accepted_steps,nlu,wall_s,rss_MiB
RUNNING,0.016666667,2.55000000366,391,71,113.348,425.8
RUNNING,0.033333333,2.55000007178,466,91,135.288,537.4
RUNNING,0.050000000,2.55000002917,542,111,157.800,537.4
RUNNING,0.066666667,2.55000000195,616,133,181.579,537.4
RUNNING,0.083333333,2.55000000037,704,158,208.887,537.4
RUNNING,0.100000000,2.55000000015,788,180,233.515,537.4
RUNNING,0.116666667,2.55000000005,854,200,254.870,537.4
RUNNING,0.133333333,2.55000000009,929,221,277.178,537.4
RUNNING,0.150000000,2.55000000022,1012,244,302.453,537.4
RUNNING,0.166666667,2.55000000003,1086,265,325.349,537.4
RUNNING,0.500000000,2.55000000005,2631,689,783.435,537.4
RUNNING,0.016666667,2.55000000366,391,71,45.504,370.1
RUNNING,0.016666667,2.55000000366,391,71,43.453,349.1
RUNNING,0.033333333,2.55000007178,466,91,53.564,401.7
RUNNING,0.050000000,2.55000002917,542,111,63.974,401.7
RUNNING,0.066666667,2.55000000195,616,133,74.827,401.7
RUNNING,0.083333333,2.55000000037,704,158,87.401,401.7
RUNNING,0.100000000,2.55000000015,788,180,98.753,401.7
RUNNING,0.116666667,2.55000000005,854,200,108.593,401.7
RUNNING,0.133333333,2.55000000009,929,221,119.066,401.7
RUNNING,0.150000000,2.55000000022,1012,244,130.702,401.7
RUNNING,0.166666667,2.55000000003,1086,265,141.346,401.7
RUNNING,0.500000000,2.55000000005,2631,691,357.976,411.0
RUNNING,0.016666667,2.55000000366,391,71,33.375,3056.9
RUNNING,0.033333333,2.55000007178,466,91,41.120,3836.8
RUNNING,0.050000000,2.55000002917,542,111,49.139,4598.5
RUNNING,0.066666667,2.55000000195,616,133,57.433,5439.8
RUNNING,0.083333333,2.55000000037,704,158,66.954,6395.8
RUNNING,0.100000000,2.55000000015,788,180,75.505,7233.6
RUNNING,0.116666667,2.55000000005,854,200,82.928,8000.9
RUNNING,0.133333333,2.55000000009,929,221,90.873,8804.2
RUNNING,0.150000000,2.55000000022,1012,244,99.639,9683.1
RUNNING,0.166666667,2.55000000003,1086,265,107.663,10485.5
RUNNING,0.500000000,2.55000000005,2631,691,271.043,26770.1
RUNNING,0.016666667,2.55000000366,391,71,31.508,3036.0
RUNNING,0.033333333,2.55000007178,466,91,39.175,3808.6
RUNNING,0.050000000,2.55000002917,542,111,47.164,4568.1
RUNNING,0.066666667,2.55000000195,616,133,55.448,5409.0
RUNNING,0.083333333,2.55000000037,704,158,64.966,6364.9
