status,t_h,maxC,accepted_steps,nlu,wall_s,rss_MiB
RUNNING,0.016666667,2.55000000366,292,56,90.132,420.8
RUNNING,0.033333333,2.55000007177,345,71,106.066,537.6
RUNNING,0.050000000,2.55000002916,399,87,123.122,537.6
RUNNING,0.066666667,2.55000000195,451,102,139.053,537.8
RUNNING,0.083333333,2.55000000037,511,118,156.573,537.8
RUNNING,0.100000000,2.55000000015,567,133,172.861,537.8
RUNNING,0.116666667,2.55000000005,609,146,186.157,537.8
RUNNING,0.133333333,2.55000000009,661,162,202.650,537.8
RUNNING,0.150000000,2.55000000022,717,178,219.618,537.8
RUNNING,0.166666667,2.55000000003,765,192,234.248,537.8
RUNNING,0.500000000,2.55000000005,1796,487,545.588,537.8
RUNNING,1.000000000,2.54999999044,3290,934,991.990,537.8
RUNNING,0.016666667,2.55000000366,292,56,37.211,371.3
RUNNING,0.033333333,2.55000007177,345,71,44.883,426.4
RUNNING,0.016666667,2.55000000366,292,56,34.937,349.8
RUNNING,0.033333333,2.55000007177,345,71,42.460,396.8
RUNNING,0.050000000,2.55000002916,399,87,50.491,396.8
RUNNING,0.066666667,2.55000000195,451,102,58.061,396.8
RUNNING,0.083333333,2.55000000037,511,118,66.250,396.8
RUNNING,0.100000000,2.55000000015,567,133,73.928,396.8
RUNNING,0.116666667,2.55000000005,609,146,80.263,396.8
RUNNING,0.133333333,2.55000000009,661,162,88.053,396.8
RUNNING,0.150000000,2.55000000022,717,178,96.130,396.8
RUNNING,0.166666667,2.55000000003,765,192,103.111,396.8
RUNNING,0.500000000,2.55000000005,1792,488,251.912,402.3
RUNNING,1.000000000,2.54999999044,3283,917,459.701,411.5
RUNNING,0.016666667,2.55000000366,292,56,26.131,2484.5
RUNNING,0.033333333,2.55000007177,345,71,31.634,3068.4
RUNNING,0.050000000,2.55000002916,399,87,37.548,3683.5
RUNNING,0.066666667,2.55000000195,451,102,43.065,4254.9
RUNNING,0.083333333,2.55000000037,511,118,49.123,4866.9
RUNNING,0.100000000,2.55000000015,567,133,54.724,5440.5
RUNNING,0.116666667,2.55000000005,609,146,59.290,5937.1
RUNNING,0.133333333,2.55000000009,661,162,64.912,6548.7
RUNNING,0.150000000,2.55000000022,717,178,70.744,7159.9
RUNNING,0.166666667,2.55000000003,765,192,75.822,7695.8
RUNNING,0.500000000,2.55000000005,1792,488,183.382,19015.2
