status,t_h,maxC,accepted_steps,nlu,wall_s,rss_MiB
RUNNING,0.016666667,2.55000000362,287,55,90.002,427.2
RUNNING,0.033333333,2.55000007143,338,69,105.184,538.7
RUNNING,0.050000000,2.55000002915,389,84,121.411,538.7
RUNNING,0.066666667,2.55000000194,438,99,137.374,538.7
RUNNING,0.083333333,2.55000000019,493,115,154.383,538.7
RUNNING,0.100000000,2.55000000006,546,132,171.967,538.7
RUNNING,0.116666667,2.55000000001,585,144,184.457,538.7
RUNNING,0.133333333,2.55,635,158,199.198,538.7
RUNNING,0.150000000,2.55,687,172,214.197,538.7
RUNNING,0.166666667,2.55,732,186,228.522,538.7
RUNNING,0.500000000,2.55,1698,467,522.413,542.8
RUNNING,1.000000000,2.54999999044,3102,870,929.854,543.2
RUNNING,1.500000000,2.54990698812,4436,1270,1323.466,543.2
RUNNING,0.016666667,2.55000000362,287,55,36.520,370.0
RUNNING,0.033333333,2.55000007143,338,69,43.715,425.5
RUNNING,0.050000000,2.55000002915,389,84,51.364,425.5
RUNNING,0.016666667,2.55000000362,287,55,34.932,349.5
RUNNING,0.033333333,2.55000007143,338,69,42.085,396.4
RUNNING,0.050000000,2.55000002915,389,84,49.743,396.4
RUNNING,0.066666667,2.55000000194,438,99,57.280,396.4
RUNNING,0.083333333,2.55000000019,493,115,65.315,402.4
RUNNING,0.100000000,2.55000000006,546,132,73.635,402.4
RUNNING,0.116666667,2.55000000001,585,144,79.663,402.4
RUNNING,0.133333333,2.55,635,158,86.750,402.4
RUNNING,0.150000000,2.55,687,172,93.942,402.4
RUNNING,0.166666667,2.55,732,186,100.801,402.4
RUNNING,0.500000000,2.55,1698,463,239.532,402.4
RUNNING,1.000000000,2.54999999044,3100,875,438.998,411.5
RUNNING,0.016666667,2.55000000362,287,55,26.489,2445.7
RUNNING,0.033333333,2.55000007143,338,69,31.789,2991.1
RUNNING,0.050000000,2.55000002915,389,84,37.494,3572.1
RUNNING,0.066666667,2.55000000194,438,99,43.111,4139.6
RUNNING,0.083333333,2.55000000019,493,115,49.031,4751.6
RUNNING,0.100000000,2.55000000006,546,132,55.186,5401.3
RUNNING,0.116666667,2.55000000001,585,144,59.657,5860.2
RUNNING,0.133333333,2.55,635,158,64.906,6394.9
RUNNING,0.150000000,2.55,687,172,70.194,6930.4
RUNNING,0.166666667,2.55,732,186,75.204,7463.7
RUNNING,0.500000000,2.55,1698,463,178.068,18054.2
RUNNING,1.000000000,2.54999999044,3100,875,329.916,33804.6
RUNNING,0.016666667,2.55000000362,287,55,23.952,2425.5
RUNNING,0.033333333,2.55000007143,338,69,29.034,2963.2
RUNNING,0.050000000,2.55000002915,389,84,34.456,3542.9
RUNNING,0.066666667,2.55000000194,438,99,39.824,4110.3
RUNNING,0.083333333,2.55000000019,493,115,45.546,4722.0
RUNNING,0.100000000,2.55000000006,546,132,51.455,5372.1
RUNNING,0.116666667,2.55000000001,585,144,55.785,5830.1
RUNNING,0.133333333,2.55,635,158,60.827,6365.2
RUNNING,0.150000000,2.55,687,172,65.995,6900.7
RUNNING,0.166666667,2.55,732,186,70.858,7434.0
RUNNING,0.500000000,2.55,1698,463,169.533,18024.6
RUNNING,1.000000000,2.54999999044,3100,875,313.968,33775.4
RUNNING,0.016666667,2.55000000362,287,55,23.951,2423.9
RUNNING,0.033333333,2.55000007143,338,69,29.028,2962.0
RUNNING,0.050000000,2.55000002915,389,84,34.422,3540.8
RUNNING,0.066666667,2.55000000194,438,99,39.747,4108.3
RUNNING,0.083333333,2.55000000019,493,115,45.400,4720.3
RUNNING,0.100000000,2.55000000006,546,132,51.219,5370.0
RUNNING,0.116666667,2.55000000001,585,144,55.544,5829.0
RUNNING,0.133333333,2.55,635,158,60.544,6364.0
RUNNING,0.150000000,2.55,687,172,65.625,6899.5
RUNNING,0.166666667,2.55,732,186,70.438,7432.4
RUNNING,0.500000000,2.55,1698,463,168.314,18022.7
RUNNING,1.000000000,2.54999999044,3100,875,311.643,33774.0
RUNNING,0.016666667,2.55000000362,287,55,35.883,331.7
RUNNING,0.033333333,2.55000007143,338,69,43.107,376.7
RUNNING,0.050000000,2.55000002915,389,84,50.793,376.7
RUNNING,0.066666667,2.55000000194,438,99,58.395,376.7
RUNNING,0.083333333,2.55000000019,493,115,66.443,376.7
RUNNING,0.100000000,2.55000000006,546,132,74.831,376.7
RUNNING,0.116666667,2.55000000001,585,144,80.936,378.1
RUNNING,0.133333333,2.55,635,158,88.024,378.1
RUNNING,0.150000000,2.55,687,172,95.198,378.1
RUNNING,0.166666667,2.55,732,186,102.108,378.1
RUNNING,0.500000000,2.55,1698,463,241.967,378.6
RUNNING,1.000000000,2.54999999044,3100,875,443.367,379.3
RUNNING,1.500000000,2.54990698812,4439,1273,633.454,379.3
RUNNING,2.000000000,2.54536233275,5771,1667,823.475,380.6
RUNNING,2.500000000,2.51795166151,7213,2089,1025.261,381.1
RUNNING,3.000000000,2.45472519327,8720,2522,1235.635,381.8
RUNNING,3.500000000,2.35922025798,10153,2938,1435.131,382.4
RUNNING,4.000000000,2.24187529904,11629,3366,1641.722,383.4
RUNNING,4.500000000,2.11281673276,11779,3404,1660.846,383.5
RUNNING,5.000000000,1.97987807824,11833,3418,1667.050,384.4
RUNNING,5.500000000,1.84786009483,11883,3432,1673.226,385.2
RUNNING,6.000000000,1.71957753291,11934,3446,1679.419,386.1
RUNNING,6.500000000,1.59746957972,11986,3460,1685.577,387.2
RUNNING,7.000000000,1.48265762757,12024,3472,1690.697,388.1
RUNNING,7.500000000,1.37554607151,12072,3486,1696.873,389.2
RUNNING,8.000000000,1.2766957455,12127,3501,1703.592,389.9
RUNNING,8.500000000,1.1859636352,12171,3514,1709.326,390.8
RUNNING,9.000000000,1.10292554751,12223,3529,1715.926,391.8
RUNNING,9.500000000,1.02709424434,12270,3543,1722.064,392.7
RUNNING,10.000000000,0.957862518004,12317,3556,1727.827,393.5
RUNNING,10.500000000,0.894800406383,12358,3567,1732.812,394.4
RUNNING,11.000000000,0.837427564138,12397,3576,1737.035,394.5
RUNNING,11.500000000,0.785201789527,12437,3587,1741.978,396.0
RUNNING,12.000000000,0.737666413951,12484,3601,1748.145,396.8
RUNNING,12.540022731,0.69118032725,12527,3614,1753.917,398.1
RUNNING,13.000065050,0.655178578372,12535,3616,1754.973,398.1
RUNNING,13.500000000,0.619424560243,12542,3619,1756.329,400.2
RUNNING,14.000000000,0.58685165578,12584,3631,1761.611,400.7
RUNNING,14.500000000,0.557135975448,12626,3643,1766.983,401.7
RUNNING,15.027201471,0.528576164414,12667,3653,1771.636,402.1
RUNNING,15.500000000,0.505154787219,12675,3656,1772.998,403.7
RUNNING,16.014799149,0.481784118147,12716,3667,1777.922,404.4
RUNNING,16.500000000,0.461600612006,12724,3670,1779.186,405.5
RUNNING,17.000000000,0.442495126952,12765,3681,1784.081,406.2
RUNNING,17.530383286,0.423911454171,12806,3693,1789.381,407.1
RUNNING,18.000000000,0.408744189757,12814,3695,1790.340,407.1
RUNNING,18.540342628,0.392650245874,12855,3707,1795.630,409.1
RUNNING,19.036003241,0.379048150134,12862,3710,1796.866,409.6
RUNNING,19.536003241,0.366339087864,12868,3711,1797.419,409.6
RUNNING,20.036003241,0.354548440975,12874,3712,1797.981,409.6
RUNNING,20.536003241,0.343588845494,12880,3713,1798.530,409.6
RUNNING,21.036003241,0.33338265109,12886,3714,1799.062,409.6
RUNNING,21.536003241,0.323860742997,12892,3716,1800.038,415.4
RUNNING,22.000000000,0.315582724942,12898,3717,1800.568,415.4
RUNNING,22.500000000,0.307218703687,12942,3732,1807.159,416.8
RUNNING,23.000000000,0.299381977335,12981,3744,1812.416,417.0
RUNNING,23.500000000,0.292027092489,13019,3756,1817.537,418.4
RUNNING,24.000000000,0.285113328346,13055,3768,1822.513,419.3
RUNNING,24.500000000,0.278604146633,13090,3780,1827.449,420.5
RUNNING,25.000000000,0.272466694071,13128,3792,1832.459,421.1
RUNNING,25.506328139,0.266600143881,13165,3802,1836.744,422.2
RUNNING,26.017046331,0.261014618249,13172,3803,1837.356,422.2
RUNNING,26.500000000,0.256015570249,13178,3805,1838.176,422.2
RUNNING,27.000000000,0.251103811098,13216,3818,1843.700,425.4
RUNNING,27.539810178,0.24608001317,13250,3828,1848.065,426.0
RUNNING,28.082541143,0.241303015486,13257,3830,1848.979,426.0
RUNNING,28.582541143,0.237126910823,13263,3831,1849.524,426.0
RUNNING,29.000000000,0.233794020841,13269,3833,1850.416,429.8
RUNNING,29.500000000,0.229971245331,13308,3843,1855.012,430.2
RUNNING,30.039184311,0.22604254945,13343,3854,1859.823,430.7
RUNNING,30.514326852,0.222738706251,13349,3856,1860.725,430.7
RUNNING,31.014326852,0.219411542849,13355,3857,1861.267,430.7
RUNNING,31.514326852,0.216228058555,13361,3858,1861.813,430.7
RUNNING,32.014326852,0.213179222158,13367,3859,1862.363,430.7
RUNNING,32.514326852,0.210256723572,13373,3860,1862.901,430.7
RUNNING,33.014326852,0.207452905347,13379,3861,1863.429,430.7
RUNNING,33.514326852,0.2047607016,13385,3862,1863.970,430.7
RUNNING,34.014326852,0.202173583523,13391,3863,1864.513,430.7
RUNNING,34.500000000,0.199755476958,13397,3864,1865.056,430.7
RUNNING,35.000000000,0.197356289764,13435,3878,1871.167,440.7
RUNNING,35.562857778,0.194759065906,13467,3888,1875.494,440.9
RUNNING,36.059106179,0.192556935163,13473,3889,1876.068,440.9
RUNNING,36.559106179,0.190416665009,13479,3890,1876.601,440.9
RUNNING,37.059106179,0.188351045881,13485,3892,1877.433,440.9
RUNNING,37.559106179,0.186356197371,13491,3893,1877.972,440.9
RUNNING,38.059106179,0.184428499533,13497,3894,1878.509,440.9
RUNNING,38.559106179,0.18256457183,13503,3895,1879.048,440.9
RUNNING,39.059106179,0.180761254022,13509,3896,1879.587,440.9
RUNNING,39.559106179,0.179015588812,13515,3897,1880.126,440.9
RUNNING,40.059106179,0.177324806087,13521,3898,1880.672,440.9
RUNNING,40.559106179,0.175686308584,13527,3899,1881.210,440.9
RUNNING,41.059106179,0.174097658828,13533,3900,1881.747,440.9
RUNNING,41.559106179,0.172556567216,13539,3901,1882.288,440.9
RUNNING,42.059106179,0.171060881144,13545,3902,1882.820,440.9
RUNNING,42.559106179,0.16960857505,13551,3903,1883.359,440.9
RUNNING,43.059106179,0.16819774131,13557,3904,1883.896,440.9
RUNNING,43.559106179,0.166826581887,13563,3905,1884.437,440.9
RUNNING,44.059106179,0.165493400674,13569,3906,1884.977,440.9
RUNNING,44.559106179,0.164196596456,13575,3907,1885.514,440.9
RUNNING,45.059106179,0.162934656444,13581,3908,1886.051,440.9
RUNNING,45.559106179,0.16170615032,13587,3909,1886.660,440.9
RUNNING,46.059106179,0.160509724751,13593,3911,1887.490,440.9
RUNNING,46.559106179,0.159344098329,13599,3912,1888.080,440.9
RUNNING,47.059106179,0.158208056906,13605,3913,1888.644,440.9
RUNNING,47.559106179,0.157100449273,13611,3914,1889.241,440.9
RUNNING,48.059106179,0.156020183174,13617,3915,1889.864,440.9
RUNNING,48.559106179,0.154966221607,13623,3917,1890.766,440.9
RUNNING,49.059106179,0.153937579405,13629,3918,1891.527,440.9
RUNNING,49.559106179,0.15293332006,13635,3919,1892.230,440.9
RUNNING,50.059106179,0.151952552779,13641,3920,1893.006,440.9
RUNNING,50.559106179,0.150994429743,13647,3921,1893.772,440.9
RUNNING,51.059106179,0.150058143565,13653,3923,1894.805,440.9
DRIED,51.090536304,0.14999999999,13654,3923,1897.680,524.1
