时间/s,0.0 cm,0.1 cm,0.2 cm,0.3 cm,0.4 cm,0.5 cm,0.6 cm,0.7 cm,0.8 cm,0.9 cm,1.0 cm,1.1 cm,1.2 cm,1.3 cm,1.4 cm,1.5 cm,1.6 cm,1.7 cm,1.8 cm,1.9 cm,2.0 cm
60,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999926,2.549999924822,2.549979562158,2.548503481457,2.518472661401,2.327087252580
120,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999850,2.549999977256,2.549998256462,2.549932048251,2.548632507014,2.535392314569,2.463249297307,2.242097032476
180,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999972,2.549999997801,2.549999892813,2.549996693966,2.549935095405,2.549181556404,2.543278601925,2.513286578499,2.412354822545,2.179838392733
240,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999997,2.549999999839,2.549999993807,2.549999831682,2.549996753166,2.549955382552,2.549560792464,2.546878090982,2.533791457566,2.487505098856,2.366838611422,2.129287074964
300,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999989,2.549999999645,2.549999991111,2.549999831168,2.549997561205,2.549973144078,2.549773759617,2.548534717423,2.542653029876,2.521202169022,2.460553348457,2.325824247775,2.086356870036
360,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999979,2.549999999513,2.549999990906,2.549999864739,2.549998397045,2.549984844132,2.549885422932,2.549305213475,2.546605586578,2.536557148419,2.506480670069,2.433520478895,2.288496366275,2.048875603867
420,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999972,2.549999999490,2.549999992316,2.549999904484,2.549999021378,2.549991732537,2.549942340410,2.549667360356,2.548408056333,2.543654532138,2.528818904426,2.490355334923,2.406946273811,2.254252694481,2.015462942752
480,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999998,2.549999999970,2.549999999547,2.549999994216,2.549999937449,2.549999427671,2.549995571343,2.549971008804,2.549839270006,2.549243955971,2.546974804475,2.539665525129,2.519711345426,2.473344368692,2.381081503897,2.222606990945,1.985225776625
540,2.550000000000,2.550000000000,2.550000000000,2.549999999998,2.549999999971,2.549999999636,2.549999995945,2.549999960870,2.549999673505,2.549997648406,2.549985386654,2.549921628132,2.549636911172,2.548544468167,2.544939082816,2.534686494661,2.509496955808,2.455814931530,2.356040525752,2.193166876106,1.957642331973
600,2.550000000000,2.550000000000,2.549999999998,2.549999999975,2.549999999724,2.549999997274,2.549999976153,2.549999816121,2.549998754264,2.549992596874,2.549961429582,2.549823789410,2.549293483184,2.547510110864,2.542270240849,2.528796607854,2.498398817282,2.438006746070,2.331830867826,2.165630315206,1.932333808101
660,2.549999999999,2.549999999998,2.549999999978,2.549999999795,2.549999998201,2.549999985627,2.549999896803,2.549999338210,2.549996221728,2.549980827897,2.549913586917,2.549653997318,2.548768305152,2.546096525908,2.538963927879,2.522086193695,2.486601072416,2.420087365805,2.308448710313,2.139770902185,1.908992881580
720,2.549999999993,2.549999999979,2.549999999844,2.549999998806,2.549999991307,2.549999941779,2.549999645649,2.549998052314,2.549990363902,2.549957160445,2.549828976314,2.549386855753,2.548024575220,2.544273314186,2.535033526031,2.514645245587,2.474251068374,2.402169589324,2.285866022485,2.115412124163,1.887322076921
