time_s,r=0.0cm,r=0.1cm,r=0.2cm,r=0.3cm,r=0.4cm,r=0.5cm,r=0.6cm,r=0.7cm,r=0.8cm,r=0.9cm,r=1.0cm,r=1.1cm,r=1.2cm,r=1.3cm,r=1.4cm,r=1.5cm,r=1.6cm,r=1.7cm,r=1.8cm,r=1.9cm,surface,radius_cm
60,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999996175,2.548636943848,2.079434332299,1.995766666667
120,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999998892,2.549971399670,2.526867389941,1.923004451761,1.991533333333
180,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999940,2.549999324736,2.549302828627,2.479203830527,1.815836024090,1.987300000000
240,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999998,2.549999983597,2.549980678776,2.546199446126,2.416237403786,1.733189194169,1.983066666667
300,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999597,2.549999477672,2.549843754404,2.538891144294,2.345511227146,1.666114558849,1.978833333333
360,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999990,2.549999986325,2.549994489228,2.549345065808,2.526472261764,2.271203987027,1.609822942958,1.974600000000
420,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999642,2.549999820535,2.549969067394,2.548126605457,2.508809932181,2.195797670569,1.561343107735,1.970366666667
480,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999991,2.549999994538,2.549998732904,2.549884191270,2.545784002082,2.486231275957,2.120710813209,1.518779646316,1.966133333333
540,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999840,2.549999952916,2.549994057287,2.549671691252,2.541948960187,2.459286771362,2.046759466019,1.481094261776,1.961900000000
600,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999995,2.549999998381,2.549999732992,2.549979148036,2.549233804901,2.536346390856,2.428569641883,1.974362957742,1.447492530210,1.957666666667
660,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999947,2.549999989092,2.549998868483,2.549941217962,2.548446007332,2.528783503936,2.394663566586,1.903825687916,1.417354309425,1.953433333333
720,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999998,2.549999999588,2.549999945610,2.549996195729,2.549858828673,2.547177811828,2.519107560587,2.358098661681,1.835344306511,1.390044836430,1.949200000000
780,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999985,2.549999997622,2.549999785264,2.549989298802,2.549700845763,2.545295145429,2.507271037270,2.319382967453,1.769027843726,1.365122443060,1.944966666667
840,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999904,2.549999989146,2.549999299218,2.549973695512,2.549427668608,2.542651649704,2.493318313289,2.278957681646,1.704903596928,1.342240984791,1.940733333333
900,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999996,2.549999999499,2.549999959279,2.549998018305,2.549942433009,2.548988924121,2.539135809810,2.477318207171,2.237228766600,1.642943078572,1.321057550883,1.936500000000
960,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999979,2.549999997857,2.549999868803,2.549995068141,2.549884992310,2.548327141382,2.534653035284,2.459334541753,2.194526274311,1.583064243507,1.301547834531,1.932266666667
1020,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999896,2.549999992218,2.549999631055,2.549988877027,2.549786983487,2.547384028929,2.529114699629,2.439443254341,2.151119166447,1.525279363892,1.283422879536,1.928033333333
1080,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999995,2.549999999579,2.549999975307,2.549999064083,2.549976991442,2.549630783786,2.546093232381,2.522428815997,2.417841746562,2.107259683340,1.469495817917,1.266734430580,1.923800000000
1140,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999979,2.549999998504,2.549999930241,2.549997847251,2.549955773649,2.549392759857,2.544384801525,2.514578005827,2.394655292152,2.063117269198,1.415806168322,1.251280514246,1.919566666667
1200,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999917,2.549999995308,2.549999821308,2.549995404785,2.549919883767,2.549047197459,2.542202667475,2.505536230221,2.370027355699,2.018899824528,1.364054778464,1.236845162961,1.915333333333
1260,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999996,2.549999999710,2.549999986686,2.549999579663,2.549990863551,2.549862727421,2.548565738523,2.539485717620,2.495267760002,2.344007938677,1.974776140005,1.314136218194,1.223224651267,1.911100000000
1320,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999983,2.549999999097,2.549999965531,2.549999081284,2.549982853185,2.549774979395,2.547910982321,2.536161165004,2.483765627307,2.316821431473,1.930888027539,1.265981907608,1.210537992595,1.906866666667
1380,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999943,2.549999997431,2.549999917429,2.549998117076,2.549969455983,2.549646048652,2.547051819381,2.532195874251,2.471075512130,2.288603092907,1.887305577508,1.219714685556,1.198758218216,1.902633333333
1440,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999997,2.549999999824,2.549999993268,2.549999815361,2.549996354446,2.549948040785,2.549463101147,2.545952978527,2.527547429309,2.457224739167,2.259488086430,1.844158526919,,1.187565454332,1.898400000000
1500,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999989,2.549999999498,2.549999983646,2.549999611840,2.549993282780,2.549914989992,2.549209645733,2.544567564762,2.522152247184,2.442218588992,2.229611343681,1.801554998794,,1.176827390399,1.894166666667
1560,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999965,2.549999998668,2.549999962601,2.549999226030,2.549988171229,2.549866077363,2.548870340971,2.542867674697,2.515999952385,2.426104454113,2.199014045773,1.759553817752,,1.166662220603,1.889933333333
1620,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999998,2.549999999900,2.549999996709,2.549999919612,2.549998532235,2.549979964880,2.549795190132,2.548424362968,2.540817700182,2.509077148569,2.408969103502,2.167950532462,1.718165299803,,1.157015688244,1.885700000000
