时间/s,0.0 cm,0.1 cm,0.2 cm,0.3 cm,0.4 cm,0.5 cm,0.6 cm,0.7 cm,0.8 cm,0.9 cm,1.0 cm,1.1 cm,1.2 cm,1.3 cm,1.4 cm,1.5 cm,1.6 cm,1.7 cm,1.8 cm,1.9 cm,2.0 cm
60,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999933,2.549999926988,2.549979677915,2.548504236663,2.518471794992,2.327084972351
120,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999854,2.549999977508,2.549998263324,2.549932123193,2.548632786889,2.535392418064,2.463248426110,2.242095818868
180,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999972,2.549999997819,2.549999893237,2.549996699448,2.549935133959,2.549181692780,2.543278785708,2.513286432590,2.412354096537,2.179837553656
240,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999997,2.549999999840,2.549999993833,2.549999832052,2.549996756556,2.549955402321,2.549560862890,2.546878228380,2.533791537793,2.487504863711,2.366837996551,2.129286433866
300,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999989,2.549999999646,2.549999991135,2.549999831425,2.549997563139,2.549973154297,2.549773796577,2.548534804200,2.542653142394,2.521202176026,2.460553082814,2.325823716356,2.086356358838
360,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999979,2.549999999515,2.549999990924,2.549999864900,2.549998398114,2.549984849450,2.549885442434,2.549305264624,2.546605676203,2.536557230031,2.506480626605,2.433520203177,2.288495901666,2.048875183846
420,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999972,2.549999999492,2.549999992329,2.549999904579,2.549999021961,2.549991735321,2.549942350727,2.549667389460,2.548408116682,2.543654616232,2.528818956451,2.490355257411,2.406946000928,2.254252283989,2.015462589789
480,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999998,2.549999999970,2.549999999548,2.549999994224,2.549999937505,2.549999427987,2.549995572808,2.549971014273,2.549839286241,2.549243993509,2.546974869253,2.539665599168,2.519711371298,2.473344267865,2.381081238386,2.222606625667,1.985225474613
540,2.550000000000,2.550000000000,2.550000000000,2.549999999998,2.549999999971,2.549999999636,2.549999995950,2.549999960901,2.549999673676,2.549997649181,2.549985389563,2.549921637086,2.549636933514,2.548544512278,2.544939148240,2.534686556771,2.509496959980,2.455814816210,2.356040272102,2.193166547817,1.957642072499
600,2.550000000000,2.550000000000,2.549999999998,2.549999999975,2.549999999724,2.549999997277,2.549999976171,2.549999816214,2.549998754678,2.549992598427,2.549961434492,2.549823802361,2.549293511265,2.547510159543,2.542270304190,2.528796657559,2.498398803474,2.438006620989,2.331830625274,2.165630019472,1.932333584571
660,2.549999999999,2.549999999998,2.549999999978,2.549999999795,2.549999998203,2.549999985638,2.549999896855,2.549999338433,2.549996222562,2.549980830584,2.549913594305,2.549654014478,2.548768338255,2.546096577292,2.538963987313,2.522086231438,2.486601044167,2.420087235247,2.308448480497,2.139770634430,1.908992688929
720,2.549999999993,2.549999999979,2.549999999845,2.549999998807,2.549999991313,2.549999941808,2.549999645770,2.549998052765,2.549990365375,2.549957164622,2.549828986534,2.549386877075,2.548024612460,2.544273366666,2.535033580348,2.514645271951,2.474251027992,2.402169454984,2.285865803810,2.115411882170,1.887321909796
780,2.549999999951,2.549999999863,2.549999999172,2.549999994628,2.549999966653,2.549999807694,2.549998982744,2.549995094844,2.549978511277,2.549914621276,2.549692564148,2.548996710243,2.547030871662,2.542022356235,2.530504390639,2.506561355945,2.461475089607,2.384348713794,2.264075327600,2.092401766342,1.867090312287
840,2.549999999726,2.549999999321,2.549999996480,2.549999980275,2.549999893250,2.549999458884,2.549997463443,2.549989073510,2.549956895115,2.549844544152,2.549487864982,2.548458887503,2.545761714821,2.539335835746,2.525409495827,2.497916463616,2.448376845897,2.366689851365,2.243041556533,2.070604854546,1.848124131233
900,2.549999998773,2.549999997242,2.549999987536,2.549999938507,2.549999704671,2.549998661924,2.549994353832,2.549977953314,2.549920611867,2.549736854580,2.549197757955,2.547750754034,2.544197744916,2.536214396162,2.519786534518,2.488787117699,2.435045906992,2.349248002040,2.222744353748,2.049909715827,1.830241173105
