time_s,xi=0.00,xi=0.01,xi=0.02,xi=0.03,xi=0.04,xi=0.05,xi=0.06,xi=0.07,xi=0.08,xi=0.09,xi=0.10,xi=0.11,xi=0.12,xi=0.13,xi=0.14,xi=0.15,xi=0.16,xi=0.17,xi=0.18,xi=0.19,xi=0.20,xi=0.21,xi=0.22,xi=0.23,xi=0.24,xi=0.25,xi=0.26,xi=0.27,xi=0.28,xi=0.29,xi=0.30,xi=0.31,xi=0.32,xi=0.33,xi=0.34,xi=0.35,xi=0.36,xi=0.37,xi=0.38,xi=0.39,xi=0.40,xi=0.41,xi=0.42,xi=0.43,xi=0.44,xi=0.45,xi=0.46,xi=0.47,xi=0.48,xi=0.49,xi=0.50,xi=0.51,xi=0.52,xi=0.53,xi=0.54,xi=0.55,xi=0.56,xi=0.57,xi=0.58,xi=0.59,xi=0.60,xi=0.61,xi=0.62,xi=0.63,xi=0.64,xi=0.65,xi=0.66,xi=0.67,xi=0.68,xi=0.69,xi=0.70,xi=0.71,xi=0.72,xi=0.73,xi=0.74,xi=0.75,xi=0.76,xi=0.77,xi=0.78,xi=0.79,xi=0.80,xi=0.81,xi=0.82,xi=0.83,xi=0.84,xi=0.85,xi=0.86,xi=0.87,xi=0.88,xi=0.89,xi=0.90,xi=0.91,xi=0.92,xi=0.93,xi=0.94,xi=0.95,xi=0.96,xi=0.97,xi=0.98,xi=0.99,xi=1.00
60,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999939,2.549999997969,2.549999950174,2.549999094184,2.549987755858,2.549876397310,2.549062826569,2.544622290414,2.526404424632,2.469710227712,2.334041670095,2.079427367797
120,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999998,2.549999999971,2.549999999620,2.549999995752,2.549999959132,2.549999661599,2.549997585586,2.549985137908,2.549920944215,2.549635983935,2.548545755011,2.544945339834,2.534661203046,2.509183278131,2.454230143850,2.350504680360,2.178005938217,1.923000905636
180,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999998,2.549999999984,2.549999999863,2.549999998950,2.549999992699,2.549999954108,2.549999738958,2.549998655624,2.549993727290,2.549973463677,2.549898127621,2.549644741987,2.548873237705,2.546745271905,2.541423048285,2.529337776068,2.504382881268,2.457424812351,2.376681361738,2.249373407738,2.064504027532,1.815833866489
240,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999996,2.549999999976,2.549999999847,2.549999999102,2.549999995111,2.549999975297,2.549999884222,2.549999496425,2.549997966598,2.549992374099,2.549973424444,2.549913892783,2.549740438928,2.549271550345,2.548095041767,2.545353470563,2.539416737665,2.527460033088,2.505039235466,2.465842307892,2.401846516603,2.304063294347,2.163871279188,1.974656312419,1.733187763460
300,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999997,2.549999999982,2.549999999904,2.549999999521,2.549999997753,2.549999990074,2.549999958713,2.549999838250,2.549999403018,2.549997923706,2.549993192921,2.549978956067,2.549938630170,2.549831098691,2.549561092320,2.548922504494,2.547499461703,2.544510387908,2.538589439230,2.527522500097,2.507989126970,2.475402139931,2.423959025960,2.347004539780,2.237735918943,2.090168980618,1.900154167660,1.666113628717
360,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999998,2.549999999990,2.549999999955,2.549999999797,2.549999999141,2.549999996536,2.549999986721,2.549999951574,2.549999831997,2.549999445389,2.549998257476,2.549994788206,2.549985156919,2.549959736543,2.549895940097,2.549743674658,2.549397990312,2.548651323350,2.547116515230,2.544113254829,2.538516931560,2.528581602538,2.511767997442,2.484626332612,2.442798759375,2.381201519361,2.294419459524,2.177292539265,2.025603614891,1.836701730050,1.609822313547
420,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999996,2.549999999982,2.549999999924,2.549999999703,2.549999998879,2.549999995951,2.549999985991,2.549999953566,2.549999852523,2.549999551118,2.549998690432,2.549996337412,2.549990178075,2.549974739279,2.549937678631,2.549852469378,2.549664799301,2.549268789644,2.548468040745,2.546916167817,2.544032865714,2.538895703294,2.530115473085,2.515713483787,2.493031322612,2.458710581158,2.408782193989,2.338891509544,2.244659712393,2.122145000098,1.968325314163,1.781484721207,1.561342671364
480,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999998,2.549999999993,2.549999999974,2.549999999903,2.549999999652,2.549999998800,2.549999996015,2.549999987248,2.549999960697,2.549999883305,2.549999666182,2.549999079864,2.549997555767,2.549993741838,2.549984553263,2.549963238681,2.549915628468,2.549813213420,2.549601026541,2.549177558045,2.548363349533,2.546854883529,2.544161451823,2.539525412722,2.531830961096,2.519512987587,2.500484565302,2.472107818471,2.431232917731,2.374326764658,2.297698458440,2.197808869169,2.071626373281,1.916963750778,1.732703178449,1.518779262773
540,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999998,2.549999999991,2.549999999969,2.549999999895,2.549999999650,2.549999998874,2.549999996498,2.549999989465,2.549999969346,2.549999913713,2.549999765017,2.549999380844,2.549998421340,2.549996104577,2.549990696303,2.549978489308,2.549951847462,2.549895618336,2.549780845475,2.549554255177,2.549121526343,2.548322029424,2.546892788468,2.544420198102,2.540279832107,2.533567691087,2.523030318178,2.507005757072,2.483391110398,2.449654775462,2.402908012807,2.340045776588,2.257953880543,2.153765107558,2.025130572238,1.870458021708,1.689055430143,1.481093839943
600,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999997,2.549999999991,2.549999999969,2.549999999899,2.549999999682,2.549999999035,2.549999997154,2.549999991858,2.549999977391,2.549999939063,2.549999840576,2.549999595118,2.549999001723,2.549997610181,2.549994444576,2.549987458244,2.549972499303,2.549941422224,2.549878775445,2.549756226191,2.549523570628,2.549094875662,2.548328112042,2.546996724341,2.544752137362,2.541077410538,2.535234230168,2.526208103977,2.512659657392,2.492892688599,2.464851148470,2.426157293630,2.374198549190,2.306266146321,2.219738338200,2.112291173258,1.982108981926,1.828055678621,1.649753891301,1.447491918727
